ClusterIndex,Probability,OffspringID,FatherID,MotherID
1,0.1024,F502.2.1,*1,F502
1,0.1024,F502.2.10,*2,F502
1,0.1024,F502.2.11,*3,F502
1,0.1024,F502.2.12,*4,F502
1,0.1024,F502.2.13,*2,F502
1,0.1024,F502.2.14,*4,F502
1,0.1024,F502.2.15,*2,F502
1,0.1024,F502.2.16,*5,F502
1,0.1024,F502.2.2,*6,F502
1,0.1024,F502.2.3,*7,F502
1,0.1024,F502.2.4,*4,F502
1,0.1024,F502.2.6,*8,F502
1,0.1024,F502.2.7,*2,F502
1,0.1024,F502.2.8,*3,F502
1,0.1024,F502.2.9,*3,F502
1,0.1024,F502.6.1,*2,F502
1,0.1024,F502.6.10,*5,F502
1,0.1024,F502.6.11,*4,F502
1,0.1024,F502.6.12,*4,F502
1,0.1024,F502.6.13,*5,F502
1,0.1024,F502.6.14,*9,F502
1,0.1024,F502.6.15,*10,F502
1,0.1024,F502.6.16,*4,F502
1,0.1024,F502.6.2,*11,F502
1,0.1024,F502.6.3,*10,F502
1,0.1024,F502.6.4,*12,F502
1,0.1024,F502.6.5,*5,F502
1,0.1024,F502.6.6,*13,F502
1,0.1024,F502.6.7,*14,F502
1,0.1024,F502.6.8,*8,F502
1,0.1024,F502.6.9,*2,F502
1,0.1024,F502.8.1,*15,F502
1,0.1024,F502.8.10,*2,F502
1,0.1024,F502.8.11,*2,F502
1,0.1024,F502.8.12,*14,F502
1,0.1024,F502.8.13,*5,F502
1,0.1024,F502.8.14,*16,F502
1,0.1024,F502.8.15,*10,F502
1,0.1024,F502.8.16,*17,F502
1,0.1024,F502.8.2,*18,F502
1,0.1024,F502.8.3,*15,F502
1,0.1024,F502.8.4,*19,F502
1,0.1024,F502.8.5,*5,F502
1,0.1024,F502.8.6,*8,F502
1,0.1024,F502.8.7,*5,F502
1,0.1024,F502.8.8,*4,F502
1,0.1024,F502.8.9,*2,F502
1,0.1024,F504.2.1,*29,F504
1,0.1024,F504.2.10,*30,F504
1,0.1024,F504.2.11,*31,F504
1,0.1024,F504.2.12,*30,F504
1,0.1024,F504.2.13,*32,F504
1,0.1024,F504.2.14,*33,F504
1,0.1024,F504.2.15,*34,F504
1,0.1024,F504.2.16,*33,F504
1,0.1024,F504.2.2,*30,F504
1,0.1024,F504.2.3,*31,F504
1,0.1024,F504.2.4,*31,F504
1,0.1024,F504.2.5,*31,F504
1,0.1024,F504.2.6,*35,F504
1,0.1024,F504.2.7,*6,F504
1,0.1024,F504.2.8,*33,F504
1,0.1024,F504.2.9,*31,F504
1,0.1024,F504.4.1,*31,F504
1,0.1024,F504.4.10,*31,F504
1,0.1024,F504.4.11,*36,F504
1,0.1024,F504.4.12,*31,F504
1,0.1024,F504.4.13,*31,F504
1,0.1024,F504.4.14,*31,F504
1,0.1024,F504.4.15,*37,F504
1,0.1024,F504.4.16,*19,F504
1,0.1024,F504.4.2,*12,F504
