date.hatched,date.laid,mother.id,capsule.id,offspring.num,capsule.num,capsule.size,time.season,year,survive,dev.time
,,1,5,113,13,43.03,E,2018,1,
,,1,6,118,13,43,E,2018,1,
,,1,7,103,13,31.07,E,2018,1,
,,1,9,95,13,42.13,E,2018,1,
,,1,10,109,13,41.08,E,2018,1,
,,1,11,95,13,40.35,E,2018,1,
,,1,12,71,13,41.15,E,2018,1,
,,1,13,82,13,39.66,E,2018,1,
,,2,4,67,14,39.89,E,2018,1,
,,2,5,81,14,41.48,E,2018,1,
,,2,6,56,14,39.27,E,2018,1,
,,2,7,66,14,39.9,E,2018,1,
,,2,9,68,14,42.23,E,2018,1,
,,2,10,48,14,39.37,E,2018,1,
,,2,11,78,14,40.8,E,2018,1,
,,2,12,79,14,39.51,E,2018,1,
,,2,13,67,14,40.79,E,2018,1,
,,3,1,77,21,40.18,E,2018,1,
,,3,2,74,21,42.27,E,2018,1,
,,3,3,77,21,41.83,E,2018,1,
,,3,4,86,21,42.67,E,2018,1,
,,3,5,88,21,42.89,E,2018,1,
,,3,6,100,21,43.66,E,2018,1,
,,3,7,95,21,43.67,E,2018,1,
,,3,8,79,21,41.23,E,2018,1,
,,3,9,79,21,45.77,E,2018,1,
,,3,10,99,21,42.78,E,2018,1,
,,3,11,107,21,41.65,E,2018,1,
,,3,12,95,21,43.2,E,2018,1,
,,3,13,89,21,43.15,E,2018,1,
,,3,14,83,21,42.5,E,2018,1,
,,3,15,58,21,41.78,E,2018,1,
,,3,16,86,21,41.4,E,2018,1,
,,3,18,75,21,41.31,E,2018,1,
,,3,19,108,21,42.28,E,2018,1,
,,3,20,52,21,38.73,E,2018,1,
,,6,1,63,6,38.86,E,2018,1,
,,6,2,72,6,42.25,E,2018,1,
,,6,3,91,6,41.82,E,2018,1,
,,6,4,87,6,41.48,E,2018,1,
,,6,5,90,6,42.63,E,2018,1,
,,7,1,57,7,44.77,E,2018,1,
,,7,3,54,7,45.4,E,2018,1,
,,7,4,75,7,46.09,E,2018,1,
,,7,6,86,7,45.6,E,2018,1,
,,70,1,61,10,40.23,L,2018,1,
,,70,2,26,10,41.04,L,2018,1,
,,70,3,59,10,42.96,L,2018,1,
,,70,4,45,10,41.21,L,2018,1,
,,70,5,35,10,44.44,L,2018,1,
,,70,6,30,10,41.57,L,2018,1,
,,70,7,36,10,40.88,L,2018,1,
,,70,8,47,10,41.17,L,2018,1,
,,70,9,28,10,41.07,L,2018,1,
,,70,10,31,10,40.9,L,2018,1,
,,71,1,68,9,33.72,L,2018,1,
,,71,2,56,9,32.99,L,2018,1,
,,71,3,70,9,33.51,L,2018,1,
,,71,4,43,9,33.19,L,2018,1,
,,71,5,69,9,34.03,L,2018,1,
,,71,6,62,9,33.41,L,2018,1,
,,71,7,65,9,34.32,L,2018,1,
,,71,8,57,9,32.47,L,2018,1,
,,71,9,51,9,31.72,L,2018,1,
,,73,1,50,9,34.01,L,2018,1,
,,73,2,52,9,35.33,L,2018,1,
,,73,3,59,9,35.84,L,2018,1,
,,73,4,90,9,36.44,L,2018,1,
,,73,5,100,9,36.56,L,2018,1,
,,73,6,113,9,36.76,L,2018,1,
,,73,7,117,9,35.9,L,2018,1,
,,73,8,108,9,36.19,L,2018,1,
,,73,9,98,9,35.13,L,2018,1,
,,74,1,94,10,43.5,L,2018,1,
,,74,2,97,10,44.06,L,2018,1,
,,74,3,84,10,44.32,L,2018,1,
,,74,4,96,10,42.74,L,2018,1,
,,74,5,94,10,45.39,L,2018,1,
,,74,6,105,10,44.12,L,2018,1,
,,74,7,83,10,42.21,L,2018,1,
,,74,8,93,10,42.96,L,2018,1,
,,74,9,114,10,41.86,L,2018,1,
,,75,1,83,13,37.21,L,2018,1,
,,75,2,89,13,38.14,L,2018,1,
,,75,3,101,13,38.79,L,2018,1,
,,75,4,110,13,39.72,L,2018,1,
,,75,5,122,13,40.49,L,2018,1,
,,75,6,107,13,41.21,L,2018,1,
,,75,7,124,13,41.34,L,2018,1,
,,75,8,94,13,40.89,L,2018,1,
,,75,9,100,13,41.07,L,2018,1,
,,75,10,69,13,41.01,L,2018,1,
,,75,11,102,13,40.07,L,2018,1,
,,75,12,79,13,39.88,L,2018,1,
,,75,13,78,13,39.85,L,2018,1,
,,76,1,93,15,45.22,L,2018,1,
,,76,2,126,15,45.01,L,2018,1,
,,76,3,141,15,48,L,2018,1,
,,76,4,146,15,47.24,L,2018,1,
,,76,5,150,15,47.17,L,2018,1,
,,76,6,141,15,46,L,2018,1,
,,76,7,171,15,48.32,L,2018,1,
,,76,8,147,15,46.12,L,2018,1,
,,76,9,153,15,47.14,L,2018,1,
,,76,10,172,15,47.3,L,2018,1,
,,76,11,73,15,46.74,L,2018,1,
,,76,12,151,15,46.32,L,2018,1,
,,76,13,166,15,47.9,L,2018,1,
,,76,14,137,15,46.44,L,2018,1,
,,76,15,118,15,45.92,L,2018,1,
6/3/20,5/5/20,F501,2,48,10,34.67,E,2020,1,29
6/4/20,5/5/20,F501,4,47,10,35.1,E,2020,1,30
6/6/20,5/5/20,F501,6,36,10,32.82,E,2020,1,32
