"mother.id","year","time.season","number.sire","shannon","simpson","effective.num.sires.shannon","effective.num.sires.simpson","N","Hexp","Ar","capsule.num","offspring.num","capsule.size","total.output"
"1",2018,"E",13,2.22555093387031,0.86625,9.25858226560602,7.47663551401869,40,0.733,6.701354,13,99,41.115,1287
"2",2018,"E",12,2.25718818677607,0.879130828429153,9.5561811577954,8.27340823970037,47,0.706,4.181135,14,67,39.9,938
"3",2018,"E",2,0.646090505060809,0.453686200378072,1.90806665148636,1.83044982698962,46,0.729,6.335779,21,86,42.28,1806
"6",2018,"E",9,1.8021480797632,0.803983703033047,6.06265655698771,5.10161662817552,47,0.773,6.553996,6,87,41.82,522
"7",2018,"E",6,1.46236754145832,0.715277777777778,4.31616614357122,3.51219512195122,48,0.709,5.765438,7,66,45.5,462
"70",2018,"L",13,2.31816679078754,0.869135802469136,10.1570372542195,7.64150943396226,45,0.751,7.110845,10,35.5,41.12,355
"71",2018,"L",10,1.66535802791895,0.734375,5.28756600716438,3.76470588235294,64,0.736,6.271323,9,62,33.41,558
"73",2018,"L",7,0.891254204842751,0.391493055555556,2.43818571875795,1.64336661911555,48,0.689,5.138054,9,98,35.9,882
"74",2018,"L",4,0.897622184878044,0.481994459833795,2.45376157748112,1.93048128342246,38,0.666,4.828319,10,94,43.5,940
"75",2018,"L",6,1.18963871432352,0.610664718772827,3.2858938465266,2.56848030018762,37,0.706,5.35667,13,100,40.07,1300
"76",2018,"L",5,0.955150163053958,0.468262226847034,2.59906083653059,1.88062622309198,31,0.67,4.890908,15,146,46.74,2190
"F502",2020,"E",19,2.58040584419829,0.898143956541421,13.2024952286086,9.81777777777777,47,0.719,6.993657,10,51,45.835,510
"F503",2020,"E",16,1.87318885123711,0.702256944444444,6.50901963538402,3.35860058309038,48,0.744,6.886074,16,83,43.7,1328
"F504",2020,"E",9,1.95130304170753,0.828125,7.03785222331515,5.81818181818182,48,0.723,6.698331,11,65,42.22,715
"F506",2020,"E",9,1.81367392392107,0.800567107750473,6.1329380403142,5.01421800947867,46,0.677,6.209818,14,59,39.625,826
"F517",2020,"E",13,2.28227626498285,0.877604166666667,9.79896007238187,8.17021276595744,48,0.743,7.064288,10,50,41.07,500
"F520",2020,"E",7,1.18497467585236,0.554096876414667,3.27060399515875,2.24263959390863,47,0.676,4.693569,13,74,42.485,962
"F557",2020,"L",5,1.01493418098985,0.551111111111111,2.75918178478567,2.22772277227723,45,0.674,4.955159,16,42,36.455,672
"F567",2020,"L",9,1.04988158043012,0.420740740740741,2.85731273628279,1.72634271099744,45,0.727,6.613799,12,90.5,40.955,1086
"F569",2020,"L",13,1.8076124520229,0.727788279773157,6.0958758479249,3.67361111111111,46,0.715,5.578932,11,60,40.11,660
"F570",2020,"L",12,1.95920005783216,0.800362154821186,7.0936502849246,5.00907029478458,47,0.716,6.189541,9,108,41.68,972
"F571",2020,"L",5,1.46128307878013,0.759329367225527,4.3114879595921,4.15505617977528,43,0.707,4.915204,11,135,51.59,1485
"F578",2020,"L",9,1.58479248661661,0.679945676776822,4.8782789652985,3.12446958981613,47,0.717,5.804274,8,95,45.65,760
"F584",2020,"L",6,1.10569141520125,0.525173611111111,3.02131272834429,2.10603290676417,48,0.667,5.302605,11,77.5,43.08,852.5
